beer_style,subgroup
Hefeweizen,German Wheat Beer
English Strong Ale,Strong Ale
Foreign / Export Stout,Stout
German Pilsener,Standard American Beer
American Double / Imperial IPA,IPA
Herbed / Spiced Beer,Fruit Beer
Light Lager,American Lager
Oatmeal Stout,Stout
American Pale Lager,American Lager
Rauchbier,Amber Malty European Lager
American Pale Ale (APA),Pale American Ale
American Porter,Porter
Belgian Strong Dark Ale,Belgian Strong Ale
American IPA,IPA
American Stout,Stout
Russian Imperial Stout,Stout
American Amber / Red Ale,Amber Ale
American Strong Ale,Strong Ale
Marzen / Oktoberfest,Pale Malty European Lager
American Adjunct Lager,American Lager
American Blonde Ale,Pale American Ale
Euro Pale Lager,Pale Malty European Lager
English Brown Ale,English Brown Ale
Scotch Ale / Wee Heavy,Scottish Ale
Fruit / Vegetable Beer,Fruit Beer
American Double / Imperial Stout,American Stout
Belgian Pale Ale,Belgian Ale
English Bitter,British Bitter
English Porter,Brown British Beer
Irish Dry Stout,Irish Beer
American Barleywine,Strong American Ale
Belgian Strong Pale Ale,Belgian Strong Ale
Doppelbock,Strong European Beer
Maibock / Helles Bock,Pale Malty European Lager
Pumpkin Ale,Fruit Beer
Dortmunder / Export Lager,Pale Bitter European Beer
Euro Strong Lager,Strong European Beer
Euro Dark Lager,Dark European Lager
Low Alcohol Beer,Specialty
Weizenbock,German Wheat Beer
Extra Special / Strong Bitter (ESB),British Bitter
Bock,Strong European Beer
English India Pale Ale (IPA),IPA
Altbier,Amber Bitter European Beer
Kolsch,Pale Bitter European Beer
Munich Dunkel Lager,Dark European Lager
Rye Beer,Specialty
American Pale Wheat Ale,American Wheat Beer
Milk / Sweet Stout,Dark British Beer
Schwarzbier,Dark European Lager
Vienna Lager,Amber Bitter European Beer
American Amber / Red Lager,Amber and Brown American Beer
Scottish Ale,Scottish Ale
Witbier,Belgian Ale
American Black Ale,Standard American Beer
Saison / Farmhouse Ale,Strong Belgian Ale
English Barleywine,Strong British Ale
English Dark Mild Ale,English mild
California Common / Steam Beer,Amber and Brown American Beer
Czech Pilsener,czech Lager
English Pale Ale,English Pale Ale
Belgian IPA,IPA
Tripel,Strong Ale
Flanders Oud Bruin,Specialty
American Brown Ale,Amber and Brown American Beer
Winter Warmer,Strong British Ale
Smoked Beer,Specialty
Dubbel,Strong Ale
Flanders Red Ale,Amber and Brown American Beer
Dunkelweizen,German Wheat Beer
Roggenbier,historical Beer
Keller Bier / Zwickel Bier,Amber Bitter European Beer
Belgian Dark Ale,Belgian Ale
Biere de Garde,Belgian Ale
Japanese Rice Lager,Specialty
Black & Tan,Specialty
Irish Red Ale,Irish Beer
Chile Beer,Fruit Beer
English Stout,English Stout
Cream Ale,Standard American Beer
American Wild Ale,American Wild Ale
American Double / Imperial Pilsner,Historical Beer
Scottish Gruit / Ancient Herbed Ale,Fruit Beer
Wheatwine,Strong American Ale
American Dark Wheat Ale,American Wheat Beer
American Malt Liquor,Specialty
Baltic Porter,Strong European Beer
Munich Helles Lager,Pale Malty European Lager
Kristalweizen,Specialty
English Pale Mild Ale,British Bitter
Lambic - Fruit,Fruit Beer
Old Ale,Historical Beer
Quadrupel (Quad),Strong Ale
Braggot,Specialty
Lambic - Unblended,Fruit Beer
Eisbock,Strong European Beer
Berliner Weissbier,European Sour Ale
Kvass,Specialty
Faro,Specialty
Gueuze,Specialty
Gose,Specialty
Happoshu,Specialty
Sahti,Specialty
Biere de Champagne / Biere Brut,Specialty
