beer_style,subgroup_5
American Barleywine,Dark Ale
American Black Ale,Dark Ale
American Brown Ale,Dark Ale
American Dark Wheat Ale,Dark Ale
American Double / Imperial Stout,Dark Ale
American Porter,Dark Ale
American Stout,Dark Ale
Baltic Porter,Dark Ale
Belgian Dark Ale,Dark Ale
Belgian Strong Dark Ale,Dark Ale
Black & Tan,Dark Ale
California Common / Steam Beer,Dark Ale
Dubbel,Dark Ale
English Barleywine,Dark Ale
English Brown Ale,Dark Ale
English Dark Mild Ale,Dark Ale
English Porter,Dark Ale
English Stout,Dark Ale
Foreign / Export Stout,Dark Ale
Irish Dry Stout,Dark Ale
Milk / Sweet Stout,Dark Ale
Oatmeal Stout,Dark Ale
Quadrupel (Quad),Dark Ale
Russian Imperial Stout,Dark Ale
Scotch Ale / Wee Heavy,Dark Ale
Scottish Ale,Dark Ale
Tripel,Dark Ale
Wheatwine,Dark Ale
Winter Warmer,Dark Ale
American Amber / Red Lager,Dark Lager
Bock,Dark Lager
Doppelbock,Dark Lager
Eisbock,Dark Lager
Euro Dark Lager,Dark Lager
Maibock / Helles Bock,Dark Lager
Munich Dunkel Lager,Dark Lager
Schwarzbier,Dark Lager
Vienna Lager,Dark Lager
Weizenbock,Dark Lager
American Amber / Red Ale,Pale Ale
American Blonde Ale,Pale Ale
American Double / Imperial IPA,Pale Ale
American Double / Imperial Pilsner,Pale Ale
American IPA,Pale Ale
American Pale Ale (APA),Pale Ale
American Pale Wheat Ale,Pale Ale
American Strong Ale,Pale Ale
American Wild Ale,Pale Ale
Belgian IPA,Pale Ale
Belgian Pale Ale,Pale Ale
Belgian Strong Pale Ale,Pale Ale
Biere de Champagne / Biere Brut,Pale Ale
Biere de Garde,Pale Ale
Chile Beer,Pale Ale
Cream Ale,Pale Ale
Dunkelweizen,Pale Ale
English Bitter,Pale Ale
English India Pale Ale (IPA),Pale Ale
English Pale Ale,Pale Ale
English Pale Mild Ale,Pale Ale
English Strong Ale,Pale Ale
Extra Special / Strong Bitter (ESB),Pale Ale
Flanders Red Ale,Pale Ale
Fruit / Vegetable Beer,Pale Ale
Hefeweizen,Pale Ale
Herbed / Spiced Beer,Pale Ale
Irish Red Ale,Pale Ale
Kolsch,Pale Ale
Kristalweizen,Pale Ale
Pumpkin Ale,Pale Ale
Saison / Farmhouse Ale,Pale Ale
Scottish Gruit / Ancient Herbed Ale,Pale Ale
Witbier,Pale Ale
Altbier,Pale Lager
American Adjunct Lager,Pale Lager
American Pale Lager,Pale Lager
Czech Pilsener,Pale Lager
Dortmunder / Export Lager,Pale Lager
Euro Pale Lager,Pale Lager
Euro Strong Lager,Pale Lager
German Pilsener,Pale Lager
Happoshu,Pale Lager
Japanese Rice Lager,Pale Lager
Keller Bier / Zwickel Bier,Pale Lager
Light Lager,Pale Lager
Marzen / Oktoberfest,Pale Lager
Munich Helles Lager,Pale Lager
Rauchbier,Pale Lager
Berliner Weissbier,Sour Ale
Faro,Sour Ale
Flanders Oud Bruin,Sour Ale
Gose,Sour Ale
Gueuze,Sour Ale
Lambic - Fruit,Sour Ale
Lambic - Unblended,Sour Ale
American Malt Liquor,Specialty
Braggot,Specialty
Kvass,Specialty
Low Alcohol Beer,Specialty
Old Ale,Specialty
Roggenbier,Specialty
Rye Beer,Specialty
Sahti,Specialty
Smoked Beer,Specialty
